ID,Tournament,Date,Home Team,Away Team,Home Goals,Away Goals,Home Stadium or Not
1,Friendly,1872-11-30,Scotland,England,0.0,0.0,1
2,Friendly,1873-03-08,England,Scotland,4.0,2.0,1
3,Friendly,1874-03-07,Scotland,England,2.0,1.0,1
4,Friendly,1875-03-06,England,Scotland,2.0,2.0,1
5,Friendly,1876-03-04,Scotland,England,3.0,0.0,1
6,Friendly,1876-03-25,Scotland,Wales,4.0,0.0,1
7,Friendly,1877-03-03,England,Scotland,1.0,3.0,1
8,Friendly,1877-03-05,Wales,Scotland,0.0,2.0,1
9,Friendly,1878-03-02,Scotland,England,7.0,2.0,1
10,Friendly,1878-03-23,Scotland,Wales,9.0,0.0,1
11,Friendly,1879-01-18,England,Wales,2.0,1.0,1
12,Friendly,1879-04-05,England,Scotland,5.0,4.0,1
13,Friendly,1879-04-07,Wales,Scotland,0.0,3.0,1
14,Friendly,1880-03-13,Scotland,England,5.0,4.0,1
15,Friendly,1880-03-15,Wales,England,2.0,3.0,1
16,Friendly,1880-03-27,Scotland,Wales,5.0,1.0,1
17,Friendly,1881-02-26,England,Wales,0.0,1.0,1
18,Friendly,1881-03-12,England,Scotland,1.0,6.0,1
19,Friendly,1881-03-14,Wales,Scotland,1.0,5.0,1
20,Friendly,1882-02-18,Northern Ireland,England,0.0,13.0,1
21,Friendly,1882-02-25,Wales,Northern Ireland,7.0,1.0,1
22,Friendly,1882-03-11,Scotland,England,5.0,1.0,1
23,Friendly,1882-03-13,Wales,England,5.0,3.0,1
24,Friendly,1882-03-25,Scotland,Wales,5.0,0.0,1
25,Friendly,1883-02-03,England,Wales,5.0,0.0,1
26,Friendly,1883-02-24,England,Northern Ireland,7.0,0.0,1
27,Friendly,1883-03-10,England,Scotland,2.0,3.0,1
28,Friendly,1883-03-12,Wales,Scotland,0.0,3.0,1
29,Friendly,1883-03-17,Northern Ireland,Wales,1.0,1.0,1
30,British Home Championship,1884-01-26,Northern Ireland,Scotland,0.0,5.0,1
31,British Home Championship,1884-02-09,Wales,Northern Ireland,6.0,0.0,1
32,British Home Championship,1884-02-23,Northern Ireland,England,1.0,8.0,1
33,British Home Championship,1884-03-15,Scotland,England,1.0,0.0,1
34,British Home Championship,1884-03-17,Wales,England,0.0,4.0,1
35,British Home Championship,1884-03-29,Scotland,Wales,4.0,1.0,1
36,British Home Championship,1885-02-28,England,Northern Ireland,4.0,0.0,1
37,British Home Championship,1885-03-14,England,Wales,1.0,1.0,1
38,British Home Championship,1885-03-14,Scotland,Northern Ireland,8.0,2.0,1
39,British Home Championship,1885-03-21,England,Scotland,1.0,1.0,1
40,British Home Championship,1885-03-23,Wales,Scotland,1.0,8.0,1
41,British Home Championship,1885-04-11,Northern Ireland,Wales,2.0,8.0,1
42,Friendly,1885-11-28,United States,Canada,0.0,1.0,1
43,British Home Championship,1886-02-27,Wales,Northern Ireland,5.0,0.0,1
44,British Home Championship,1886-03-13,Northern Ireland,England,1.0,6.0,1
45,British Home Championship,1886-03-20,Northern Ireland,Scotland,2.0,7.0,1
46,British Home Championship,1886-03-27,Scotland,England,1.0,1.0,1
47,British Home Championship,1886-03-29,Wales,England,1.0,3.0,1
48,British Home Championship,1886-04-10,Scotland,Wales,4.0,1.0,1
49,Friendly,1886-11-25,United States,Canada,3.0,2.0,1
50,British Home Championship,1887-02-05,England,Northern Ireland,7.0,0.0,1
51,British Home Championship,1887-02-19,Scotland,Northern Ireland,4.0,1.0,1
52,British Home Championship,1887-02-26,England,Wales,4.0,0.0,1
53,British Home Championship,1887-03-12,Northern Ireland,Wales,4.0,1.0,1
54,British Home Championship,1887-03-19,England,Scotland,2.0,3.0,1
55,British Home Championship,1887-03-21,Wales,Scotland,0.0,2.0,1
56,British Home Championship,1888-02-04,England,Wales,5.0,1.0,1
57,British Home Championship,1888-03-03,Wales,Northern Ireland,11.0,0.0,1
58,British Home Championship,1888-03-10,Scotland,Wales,5.0,1.0,1
59,British Home Championship,1888-03-17,Scotland,England,0.0,5.0,1
60,British Home Championship,1888-03-24,Northern Ireland,Scotland,2.0,10.0,1
61,British Home Championship,1888-04-07,Northern Ireland,England,1.0,5.0,1
62,Friendly,1888-09-19,Scotland,Canada,4.0,0.0,1
63,British Home Championship,1889-02-23,England,Wales,4.0,1.0,1
64,British Home Championship,1889-03-02,England,Northern Ireland,6.0,1.0,1
65,British Home Championship,1889-03-09,Scotland,Northern Ireland,7.0,0.0,1
66,British Home Championship,1889-04-13,England,Scotland,2.0,3.0,1
67,British Home Championship,1889-04-15,Wales,Scotland,0.0,0.0,1
68,British Home Championship,1889-04-27,Northern Ireland,Wales,1.0,3.0,1
69,British Home Championship,1890-02-08,Wales,Northern Ireland,5.0,2.0,0
70,British Home Championship,1890-03-15,Northern Ireland,England,1.0,9.0,1
71,British Home Championship,1890-03-15,Wales,England,1.0,3.0,1
72,British Home Championship,1890-03-22,Scotland,Wales,5.0,0.0,1
73,British Home Championship,1890-03-29,Northern Ireland,Scotland,1.0,4.0,1
74,British Home Championship,1890-04-05,Scotland,England,1.0,1.0,1
75,British Home Championship,1891-02-07,Northern Ireland,Wales,7.0,2.0,1
76,British Home Championship,1891-03-07,England,Wales,4.0,1.0,1
77,British Home Championship,1891-03-07,England,Northern Ireland,6.0,1.0,1
78,British Home Championship,1891-03-21,Wales,Scotland,3.0,4.0,1
79,British Home Championship,1891-03-28,Scotland,Northern Ireland,2.0,1.0,1
80,British Home Championship,1891-04-04,England,Scotland,2.0,1.0,1
81,British Home Championship,1892-02-27,Wales,Northern Ireland,1.0,1.0,1
82,British Home Championship,1892-03-05,Northern Ireland,England,0.0,2.0,1
83,British Home Championship,1892-03-05,Wales,England,0.0,2.0,1
84,British Home Championship,1892-03-19,Northern Ireland,Scotland,2.0,3.0,1
85,British Home Championship,1892-03-26,Scotland,Wales,6.0,1.0,1
86,British Home Championship,1892-04-02,Scotland,England,1.0,4.0,1
87,British Home Championship,1893-02-25,England,Northern Ireland,6.0,1.0,1
88,British Home Championship,1893-03-13,England,Wales,6.0,0.0,1
89,British Home Championship,1893-03-18,Wales,Scotland,0.0,8.0,1
90,British Home Championship,1893-03-25,Scotland,Northern Ireland,6.0,1.0,1
91,British Home Championship,1893-04-01,England,Scotland,5.0,2.0,1
92,British Home Championship,1894-02-24,Wales,Northern Ireland,4.0,1.0,1
93,British Home Championship,1894-03-03,Northern Ireland,England,2.0,2.0,1
94,British Home Championship,1894-03-12,Wales,England,1.0,5.0,1
95,British Home Championship,1894-03-24,Scotland,Wales,5.0,2.0,1
96,British Home Championship,1894-03-31,Northern Ireland,Scotland,1.0,2.0,1
97,British Home Championship,1894-04-07,Scotland,England,2.0,2.0,1
98,British Home Championship,1895-03-09,England,Northern Ireland,9.0,0.0,1
99,British Home Championship,1895-03-16,Northern Ireland,Wales,2.0,2.0,1
100,British Home Championship,1895-03-18,England,Wales,1.0,1.0,1
101,British Home Championship,1895-03-23,Wales,Scotland,2.0,2.0,1
102,British Home Championship,1895-03-30,Scotland,Northern Ireland,3.0,1.0,1
103,British Home Championship,1895-04-06,England,Scotland,3.0,0.0,1
104,British Home Championship,1896-02-29,Wales,Northern Ireland,6.0,1.0,1
105,British Home Championship,1896-03-07,Northern Ireland,England,0.0,2.0,1
106,British Home Championship,1896-03-16,Wales,England,1.0,9.0,1
107,British Home Championship,1896-03-21,Scotland,Wales,4.0,0.0,1
108,British Home Championship,1896-03-28,Northern Ireland,Scotland,3.0,3.0,1
109,British Home Championship,1896-04-04,Scotland,England,2.0,1.0,1
110,British Home Championship,1897-02-20,England,Northern Ireland,6.0,0.0,1
111,British Home Championship,1897-03-06,Northern Ireland,Wales,4.0,3.0,1
112,British Home Championship,1897-03-20,Wales,Scotland,2.0,2.0,1
113,British Home Championship,1897-03-27,Scotland,Northern Ireland,5.0,1.0,1
114,British Home Championship,1897-03-29,England,Wales,4.0,0.0,1
115,British Home Championship,1897-04-03,England,Scotland,1.0,2.0,1
116,British Home Championship,1898-02-19,Wales,Northern Ireland,0.0,1.0,1
117,British Home Championship,1898-03-05,Northern Ireland,England,2.0,3.0,1
118,British Home Championship,1898-03-19,Scotland,Wales,5.0,2.0,1
119,British Home Championship,1898-03-26,Northern Ireland,Scotland,0.0,3.0,1
120,British Home Championship,1898-03-28,Wales,England,0.0,3.0,1
121,British Home Championship,1898-04-02,Scotland,England,1.0,3.0,1
122,British Home Championship,1899-02-18,England,Northern Ireland,13.0,2.0,1
123,British Home Championship,1899-03-04,Northern Ireland,Wales,1.0,0.0,1
124,British Home Championship,1899-03-18,Wales,Scotland,0.0,6.0,1
125,British Home Championship,1899-03-20,England,Wales,4.0,0.0,1
126,British Home Championship,1899-03-25,Scotland,Northern Ireland,9.0,1.0,1
127,British Home Championship,1899-04-08,England,Scotland,2.0,1.0,1
128,British Home Championship,1900-02-03,Scotland,Wales,5.0,2.0,1
129,British Home Championship,1900-02-24,Wales,Northern Ireland,2.0,0.0,1
130,British Home Championship,1900-03-03,Northern Ireland,Scotland,0.0,3.0,1
131,British Home Championship,1900-03-17,Northern Ireland,England,0.0,2.0,1
132,British Home Championship,1900-03-26,Wales,England,1.0,1.0,1
133,British Home Championship,1900-04-07,Scotland,England,4.0,1.0,1
134,British Home Championship,1901-02-23,Scotland,Northern Ireland,11.0,0.0,1
135,British Home Championship,1901-03-02,Wales,Scotland,1.0,1.0,1
136,British Home Championship,1901-03-09,England,Northern Ireland,3.0,0.0,1
137,British Home Championship,1901-03-18,England,Wales,6.0,0.0,1
138,British Home Championship,1901-03-23,Northern Ireland,Wales,0.0,1.0,1
139,British Home Championship,1901-03-30,England,Scotland,2.0,2.0,1
140,British Home Championship,1902-02-22,Wales,Northern Ireland,0.0,3.0,1
141,British Home Championship,1902-03-01,Northern Ireland,Scotland,1.0,5.0,1
142,British Home Championship,1902-03-03,Wales,England,0.0,0.0,1
143,British Home Championship,1902-03-15,Scotland,Wales,5.0,1.0,1
144,British Home Championship,1902-03-22,Northern Ireland,England,0.0,1.0,1
145,British Home Championship,1902-05-03,England,Scotland,2.0,2.0,1
146,Friendly,1902-07-20,Uruguay,Argentina,0.0,6.0,1
147,Friendly,1902-10-12,Austria,Hungary,5.0,0.0,1
148,British Home Championship,1903-02-14,England,Northern Ireland,4.0,0.0,1
149,British Home Championship,1903-03-02,England,Wales,2.0,1.0,1
150,British Home Championship,1903-03-09,Wales,Scotland,0.0,1.0,1
151,British Home Championship,1903-03-21,Scotland,Northern Ireland,0.0,2.0,1
152,British Home Championship,1903-03-28,Northern Ireland,Wales,2.0,0.0,1
153,British Home Championship,1903-04-04,England,Scotland,1.0,2.0,1
154,Friendly,1903-04-05,Hungary,Czechoslovakia,2.0,1.0,1
155,Friendly,1903-06-11,Hungary,Austria,3.0,2.0,1
156,Friendly,1903-09-13,Argentina,Uruguay,2.0,3.0,1
157,Friendly,1903-10-11,Austria,Hungary,4.0,2.0,1
158,British Home Championship,1904-02-29,Wales,England,2.0,2.0,1
159,British Home Championship,1904-03-12,Northern Ireland,England,1.0,3.0,1
160,British Home Championship,1904-03-12,Scotland,Wales,1.0,1.0,1
161,British Home Championship,1904-03-21,Wales,Northern Ireland,0.0,1.0,1
162,British Home Championship,1904-03-26,Northern Ireland,Scotland,1.0,1.0,1
163,British Home Championship,1904-04-09,Scotland,England,0.0,1.0,1
164,Évence Coppée Trophy,1904-05-01,Belgium,France,3.0,3.0,1
165,Friendly,1904-06-02,Hungary,Austria,3.0,0.0,1
166,Friendly,1904-10-09,Austria,Hungary,5.0,4.0,1
167,Friendly,1905-02-12,France,Switzerland,1.0,0.0,1
168,British Home Championship,1905-02-25,England,Northern Ireland,1.0,1.0,1
169,British Home Championship,1905-03-06,Wales,Scotland,3.0,1.0,1
170,British Home Championship,1905-03-18,Scotland,Northern Ireland,4.0,0.0,1
171,British Home Championship,1905-03-27,England,Wales,3.0,1.0,1
172,British Home Championship,1905-04-01,England,Scotland,1.0,0.0,1
173,British Home Championship,1905-04-08,Northern Ireland,Wales,2.0,2.0,1
174,Friendly,1905-04-09,Hungary,Austria,0.0,0.0,1
175,Muratti Vase,1905-04-17,Guernsey,Alderney,6.0,0.0,1
176,Muratti Vase,1905-04-27,Jersey,Guernsey,0.0,1.0,1
177,Friendly,1905-04-30,Belgium,Netherlands,1.0,4.0,1
178,Friendly,1905-05-07,Belgium,France,7.0,0.0,1
179,Friendly,1905-05-14,Netherlands,Belgium,4.0,0.0,1
180,Friendly,1905-07-21,Guyana,Trinidad and Tobago,1.0,4.0,1
181,Copa Lipton,1905-08-15,Argentina,Uruguay,0.0,0.0,1
182,British Home Championship,1906-02-17,Northern Ireland,England,0.0,5.0,1
183,British Home Championship,1906-03-03,Scotland,Wales,0.0,2.0,1
184,British Home Championship,1906-03-17,Northern Ireland,Scotland,0.0,1.0,1
185,British Home Championship,1906-03-19,Wales,England,0.0,1.0,1
186,Muratti Vase,1906-03-29,Jersey,Guernsey,1.0,2.0,1
187,Friendly,1906-04-01,Hungary,Czechoslovakia,1.0,1.0,1
188,British Home Championship,1906-04-02,Wales,Northern Ireland,4.0,4.0,1
189,Muratti Vase,1906-04-02,Guernsey,Alderney,1.0,0.0,1
190,British Home Championship,1906-04-07,Scotland,England,2.0,1.0,1
191,Friendly,1906-04-22,France,Belgium,0.0,5.0,1
192,Friendly,1906-04-29,Belgium,Netherlands,5.0,0.0,1
193,Friendly,1906-05-13,Netherlands,Belgium,2.0,3.0,1
194,Friendly,1906-07-09,Argentina,South Africa,0.0,1.0,1
195,Copa Lipton,1906-08-15,Uruguay,Argentina,0.0,2.0,1
196,Friendly,1906-10-07,Czechoslovakia,Hungary,4.0,4.0,1
197,Copa Newton,1906-10-21,Argentina,Uruguay,2.0,1.0,1
198,Friendly,1906-11-04,Hungary,Austria,3.0,1.0,1
199,British Home Championship,1907-02-16,England,Northern Ireland,1.0,0.0,1
200,British Home Championship,1907-02-23,Northern Ireland,Wales,2.0,3.0,1
201,British Home Championship,1907-03-04,Wales,Scotland,1.0,0.0,1
202,British Home Championship,1907-03-16,Scotland,Northern Ireland,3.0,0.0,1
203,British Home Championship,1907-03-18,England,Wales,1.0,1.0,1
204,Muratti Vase,1907-03-21,Alderney,Jersey,1.0,2.0,0
205,Muratti Vase,1907-04-04,Jersey,Guernsey,2.0,3.0,1
206,British Home Championship,1907-04-06,England,Scotland,1.0,1.0,1
207,Friendly,1907-04-07,Hungary,Czechoslovakia,5.0,2.0,1
208,Friendly,1907-04-14,Belgium,Netherlands,1.0,3.0,1
209,Friendly,1907-04-21,Belgium,France,1.0,2.0,1
210,Friendly,1907-05-05,Austria,Hungary,3.0,1.0,1
211,Friendly,1907-05-09,Netherlands,Belgium,1.0,2.0,1
212,Friendly,1907-10-06,Czechoslovakia,Hungary,5.0,3.0,1
213,Friendly,1907-11-03,Hungary,Austria,4.0,1.0,1
214,British Home Championship,1908-02-15,Northern Ireland,England,1.0,3.0,1
215,British Home Championship,1908-03-07,Scotland,Wales,2.0,1.0,1
216,Friendly,1908-03-08,Switzerland,France,1.0,2.0,1
217,British Home Championship,1908-03-14,Northern Ireland,Scotland,0.0,5.0,1
218,British Home Championship,1908-03-16,Wales,England,1.0,7.0,1
219,Friendly,1908-03-29,Belgium,Netherlands,1.0,4.0,1
220,Muratti Vase,1908-04-02,Guernsey,Alderney,3.0,0.0,0
221,British Home Championship,1908-04-04,Scotland,England,1.0,1.0,1
222,Friendly,1908-04-05,Hungary,Czechoslovakia,5.0,2.0,1
223,Friendly,1908-04-05,Switzerland,Germany,5.0,3.0,1
224,Muratti Vase,1908-04-09,Guernsey,Jersey,0.0,4.0,1
225,British Home Championship,1908-04-11,Wales,Northern Ireland,0.0,1.0,1
226,Friendly,1908-04-12,France,Belgium,1.0,2.0,1
227,Friendly,1908-04-26,Netherlands,Belgium,3.0,1.0,1
228,Friendly,1908-05-03,Austria,Hungary,4.0,0.0,1
229,Friendly,1908-05-10,Netherlands,France,4.0,1.0,1
230,Friendly,1908-06-06,Austria,England,1.0,6.0,1
231,Friendly,1908-06-07,Austria,Germany,3.0,2.0,1
232,Friendly,1908-06-08,Austria,England,1.0,11.0,1
233,Friendly,1908-06-10,Hungary,England,0.0,7.0,1
234,Friendly,1908-06-13,Czechoslovakia,England,0.0,4.0,1
235,Friendly,1908-07-12,Sweden,Norway,11.0,3.0,1
236,Copa Lipton,1908-08-15,Uruguay,Argentina,2.0,2.0,1
237,Copa Newton,1908-09-13,Argentina,Uruguay,2.0,1.0,1
238,Copa Premio Honor Argentino,1908-10-04,Argentina,Uruguay,0.0,1.0,1
239,Olympic Games,1908-10-22,France,Denmark,1.0,17.0,0
240,Olympic Games,1908-10-23,Netherlands,Sweden,2.0,0.0,0
241,Friendly,1908-10-25,Netherlands,Sweden,5.0,3.0,1
242,Friendly,1908-10-26,Belgium,Sweden,2.0,1.0,1
243,Friendly,1908-11-01,Hungary,Austria,5.0,3.0,1
244,British Home Championship,1909-02-13,England,Northern Ireland,4.0,0.0,1
245,British Home Championship,1909-03-01,Wales,Scotland,3.0,2.0,1
246,British Home Championship,1909-03-15,England,Wales,2.0,0.0,1
247,British Home Championship,1909-03-15,Scotland,Northern Ireland,5.0,0.0,1
248,Muratti Vase,1909-03-18,Guernsey,Jersey,3.0,0.0,1
249,British Home Championship,1909-03-20,Northern Ireland,Wales,2.0,3.0,1
250,Friendly,1909-03-21,Belgium,Netherlands,1.0,4.0,1
251,Muratti Vase,1909-03-25,Guernsey,Alderney,2.0,0.0,0
252,British Home Championship,1909-04-03,England,Scotland,2.0,0.0,1
253,Friendly,1909-04-04,Germany,Switzerland,1.0,0.0,1
254,Friendly,1909-04-04,Hungary,Germany,3.0,3.0,1
255,Friendly,1909-04-25,Netherlands,Belgium,4.0,1.0,1
256,Friendly,1909-05-02,Austria,Hungary,3.0,4.0,1
257,Friendly,1909-05-09,Belgium,France,5.0,2.0,1
258,Friendly,1909-05-29,Hungary,England,2.0,4.0,1
259,Friendly,1909-05-30,Hungary,Austria,1.0,1.0,1
260,Friendly,1909-05-31,Hungary,England,2.0,8.0,1
261,Friendly,1909-06-01,Austria,England,1.0,8.0,1
262,Copa Lipton,1909-08-15,Argentina,Uruguay,2.0,1.0,1
263,Copa Newton,1909-09-19,Uruguay,Argentina,2.0,2.0,1
264,Copa Premio Honor Argentino,1909-10-10,Argentina,Uruguay,3.0,1.0,1
265,Friendly,1909-11-07,Hungary,Austria,2.0,2.0,1
266,British Home Championship,1910-02-12,Northern Ireland,England,1.0,1.0,1
267,British Home Championship,1910-03-05,Scotland,Wales,1.0,0.0,1
268,Friendly,1910-03-13,Belgium,Netherlands,3.0,2.0,1
269,British Home Championship,1910-03-14,Wales,England,0.0,1.0,1
270,British Home Championship,1910-03-19,Northern Ireland,Scotland,1.0,0.0,1
271,British Home Championship,1910-04-02,Scotland,England,2.0,0.0,1
272,Friendly,1910-04-03,France,Belgium,0.0,4.0,1
273,Friendly,1910-04-03,Switzerland,Germany,2.0,3.0,1
274,Muratti Vase,1910-04-07,Jersey,Alderney,7.0,1.0,1
275,Friendly,1910-04-10,Netherlands,Belgium,7.0,0.0,1
276,British Home Championship,1910-04-11,Wales,Northern Ireland,4.0,1.0,1
277,Muratti Vase,1910-04-21,Guernsey,Jersey,2.0,3.0,1
278,Friendly,1910-04-24,Netherlands,Germany,4.0,2.0,1
279,Friendly,1910-05-01,Austria,Hungary,2.0,1.0,1
280,Friendly,1910-05-15,Italy,France,6.0,2.0,1
281,Friendly,1910-05-16,Germany,Belgium,0.0,3.0,1
282,Friendly,1910-05-26,Hungary,Italy,6.0,1.0,1
283,Friendly,1910-05-27,Argentina,Chile,3.0,1.0,1
284,Friendly,1910-05-29,Chile,Uruguay,0.0,3.0,0
285,Friendly,1910-06-05,Argentina,Chile,5.0,1.0,1
286,Friendly,1910-06-12,Argentina,Uruguay,4.0,1.0,1
287,Copa Lipton,1910-08-15,Uruguay,Argentina,3.0,1.0,1
288,Friendly,1910-09-11,Chile,Argentina,0.0,3.0,1
289,Friendly,1910-09-11,Norway,Sweden,0.0,4.0,1
290,Friendly,1910-10-16,Germany,Netherlands,1.0,2.0,1
291,Friendly,1910-10-16,Russia,Czechoslovakia,5.0,4.0,1
292,Friendly,1910-10-23,Russia,Czechoslovakia,1.0,0.0,1
293,Friendly,1910-11-06,Hungary,Austria,3.0,0.0,1
294,Copa Premio Honor Argentino,1910-11-13,Argentina,Uruguay,1.0,1.0,1
295,Copa Premio Honor Argentino,1910-11-27,Argentina,Uruguay,2.0,6.0,1
296,Friendly,1911-01-01,France,Hungary,0.0,3.0,1
297,Friendly,1911-01-06,Italy,Hungary,0.0,1.0,1
298,Friendly,1911-01-08,Switzerland,Hungary,2.0,0.0,1
299,British Home Championship,1911-01-28,Northern Ireland,Wales,1.0,2.0,1
300,British Home Championship,1911-02-11,England,Northern Ireland,2.0,1.0,1
301,British Home Championship,1911-03-06,Wales,Scotland,2.0,2.0,1
302,British Home Championship,1911-03-13,England,Wales,3.0,0.0,1
303,British Home Championship,1911-03-18,Scotland,Northern Ireland,2.0,0.0,1
304,Friendly,1911-03-19,Belgium,Netherlands,1.0,5.0,1
305,Friendly,1911-03-26,Germany,Switzerland,6.0,2.0,1
306,British Home Championship,1911-04-01,England,Scotland,1.0,1.0,1
307,Friendly,1911-04-02,Netherlands,Belgium,3.0,1.0,1
308,Friendly,1911-04-09,France,Italy,2.0,2.0,1
309,Muratti Vase,1911-04-20,Guernsey,Alderney,2.0,1.0,1
310,Friendly,1911-04-23,Belgium,Germany,2.0,1.0,1
311,Friendly,1911-04-23,Switzerland,France,5.0,2.0,1
312,Muratti Vase,1911-04-27,Jersey,Guernsey,4.0,1.0,1
313,Friendly,1911-04-30,Belgium,France,7.0,1.0,1
314,Friendly,1911-05-07,Austria,Hungary,3.0,1.0,1
315,Friendly,1911-05-07,Italy,Switzerland,2.0,2.0,1
316,Friendly,1911-05-21,Switzerland,Italy,3.0,0.0,1
317,Friendly,1911-06-18,Sweden,Germany,2.0,4.0,1
318,Copa Lipton,1911-08-15,Argentina,Uruguay,0.0,2.0,1
319,Friendly,1911-09-17,Sweden,Norway,4.0,1.0,1
320,Copa Newton,1911-09-17,Uruguay,Argentina,2.0,3.0,1
321,Copa Premio Honor Uruguayo,1911-10-08,Uruguay,Argentina,1.0,1.0,1
322,Friendly,1911-10-09,Germany,Austria,1.0,2.0,1
323,Copa Premio Honor Argentino,1911-10-22,Argentina,Uruguay,2.0,0.0,1
324,Friendly,1911-10-22,Finland,Sweden,2.0,5.0,1
325,Friendly,1911-10-29,Germany,Sweden,1.0,3.0,1
326,Friendly,1911-10-29,Hungary,Switzerland,9.0,0.0,1
327,Friendly,1911-10-29,Luxembourg,France,1.0,4.0,1
328,Copa Premio Honor Uruguayo,1911-10-29,Uruguay,Argentina,3.0,0.0,1
329,Friendly,1911-11-05,Hungary,Austria,2.0,0.0,1
330,Friendly,1911-12-17,Germany,Hungary,1.0,4.0,1
331,Friendly,1912-01-28,France,Belgium,1.0,1.0,1
332,British Home Championship,1912-02-10,Northern Ireland,England,1.0,6.0,1
333,Friendly,1912-02-10,France,Catalonia,7.0,0.0,1
334,Friendly,1912-02-18,France,Switzerland,4.0,1.0,1
335,Friendly,1912-02-20,Belgium,Switzerland,9.0,2.0,1
336,British Home Championship,1912-03-02,Scotland,Wales,1.0,0.0,1
337,Friendly,1912-03-10,Belgium,Netherlands,1.0,2.0,1
338,British Home Championship,1912-03-11,Wales,England,0.0,2.0,1
339,British Home Championship,1912-03-16,Northern Ireland,Scotland,1.0,4.0,1
340,Friendly,1912-03-17,Italy,France,3.0,4.0,1
341,British Home Championship,1912-03-23,Scotland,England,1.0,1.0,1
342,Friendly,1912-03-24,Netherlands,Germany,5.0,5.0,1
343,British Home Championship,1912-04-13,Wales,Northern Ireland,2.0,3.0,1
344,Friendly,1912-04-14,Hungary,Germany,4.0,4.0,1
345,Muratti Vase,1912-04-18,Jersey,Guernsey,3.0,3.0,1
346,Muratti Vase,1912-04-19,Jersey,Guernsey,2.0,5.0,1
347,Muratti Vase,1912-04-25,Guernsey,Alderney,4.0,0.0,1
348,Friendly,1912-04-28,Netherlands,Belgium,4.0,3.0,1
349,Friendly,1912-05-05,Austria,Hungary,1.0,1.0,1
350,Friendly,1912-05-05,Switzerland,Germany,1.0,2.0,1
351,Friendly,1912-05-06,Russia,Finland,1.0,1.0,1
352,Friendly,1912-06-16,Norway,Sweden,1.0,2.0,1
353,Friendly,1912-06-20,Sweden,Hungary,2.0,2.0,1
354,Friendly,1912-06-23,Norway,Hungary,0.0,6.0,1
355,Friendly,1912-06-27,Sweden,Finland,7.0,1.0,1
356,Olympic Games,1912-06-29,Finland,Italy,3.0,2.0,0
357,Olympic Games,1912-06-29,Austria,Germany,5.0,1.0,0
358,Olympic Games,1912-06-29,Sweden,Netherlands,3.0,4.0,1
359,Olympic Games,1912-06-30,Finland,Russia,2.0,1.0,0
360,Olympic Games,1912-06-30,Denmark,Norway,7.0,0.0,0
361,Olympic Games,1912-06-30,Netherlands,Austria,3.0,1.0,0
362,Olympic Games,1912-07-01,Austria,Norway,1.0,0.0,0
363,Olympic Games,1912-07-01,Germany,Russia,16.0,0.0,0
364,Olympic Games,1912-07-01,Sweden,Italy,0.0,1.0,1
365,Olympic Games,1912-07-02,Denmark,Netherlands,4.0,1.0,0
366,Olympic Games,1912-07-03,Hungary,Germany,3.0,1.0,0
367,Olympic Games,1912-07-03,Austria,Italy,5.0,1.0,0
368,Friendly,1912-07-03,Norway,Russia,2.0,1.0,0
369,Olympic Games,1912-07-04,Netherlands,Finland,9.0,0.0,0
370,Olympic Games,1912-07-05,Hungary,Austria,3.0,0.0,0
371,Friendly,1912-07-12,Russia,Hungary,0.0,9.0,1
372,Friendly,1912-07-14,Russia,Hungary,0.0,12.0,1
373,Copa Lipton,1912-08-15,Uruguay,Argentina,2.0,0.0,1
374,Copa Premio Honor Uruguayo,1912-08-25,Uruguay,Argentina,3.0,0.0,1
375,Copa Premio Honor Argentino,1912-09-22,Argentina,Uruguay,0.0,1.0,1
376,Copa Newton,1912-10-06,Argentina,Uruguay,3.0,3.0,1
377,Friendly,1912-10-06,Denmark,Germany,3.0,1.0,1
378,Friendly,1912-11-03,Hungary,Austria,4.0,0.0,1
379,Friendly,1912-11-03,Sweden,Norway,4.0,2.0,1
380,Friendly,1912-11-17,Germany,Netherlands,2.0,3.0,1
381,Friendly,1912-12-01,Uruguay,Argentina,1.0,3.0,1
382,Friendly,1912-12-01,Catalonia,France,1.0,0.0,1
383,Friendly,1912-12-22,Italy,Austria,1.0,3.0,1
384,Friendly,1913-01-12,France,Italy,1.0,0.0,1
385,British Home Championship,1913-01-18,Northern Ireland,Wales,0.0,1.0,1
386,Far Eastern Championship Games,1913-02-04,Philippines,China,2.0,1.0,1
387,British Home Championship,1913-02-15,Northern Ireland,England,2.0,1.0,1
388,Friendly,1913-02-16,Belgium,France,3.0,0.0,1
389,British Home Championship,1913-03-03,Wales,Scotland,0.0,0.0,1
390,Friendly,1913-03-09,Belgium,Netherlands,3.0,3.0,1
391,Friendly,1913-03-09,Switzerland,France,1.0,4.0,1
392,British Home Championship,1913-03-15,Northern Ireland,Scotland,1.0,2.0,1
393,British Home Championship,1913-03-17,England,Wales,4.0,3.0,1
394,Muratti Vase,1913-04-03,Jersey,Alderney,5.0,2.0,0
395,British Home Championship,1913-04-05,England,Scotland,1.0,0.0,1
396,Muratti Vase,1913-04-17,Jersey,Guernsey,2.0,4.0,1
397,Friendly,1913-04-20,France,Luxembourg,8.0,0.0,1
398,Friendly,1913-04-20,Netherlands,Belgium,2.0,4.0,1
399,Friendly,1913-04-27,Austria,Hungary,1.0,4.0,1
